Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q1_11_TEXT,Q3,Q5,Q5_17_TEXT,Q25,Q25_17_TEXT,Q22,Q22_10_TEXT,Q7,Q26,Job types,Mismatch,Response type,Communication type most helpful,Overdose burden,Communication type most common,Communication passive active
230,TRUE,7/31/2024 19:32,R_1DYt4wdDg9fewvZ,Local ambulance/EMS service,,"New Haven,Hartford",Communication with colleagues,,Communication with colleagues,,Other [please explain below],Sword reporting ,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Medical providers,Paramedics",My organization does not receive external funding for overdose prevention,First responder,No,Other,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
120,TRUE,8/1/2024 8:32,R_5nJm78Wa7V5HHbo,Local ambulance/EMS service,,"Litchfield,New Haven",Communication with colleagues,,I don’t receive updates or information about overdoses,,Refer patients/clients to local drug testing sites,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,Yes,Outreach to PWUD,I don't receive updates or information about overdoses,Lower overdose burden,Peer information sharing,Collaborative
95,TRUE,8/1/2024 10:55,R_6f47surYcrOsrz6,Local ambulance/EMS service,,"New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Be on higher alert for an influx of patients,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
168,TRUE,8/2/2024 4:13,R_3azBKEd64WaftQq,Local ambulance/EMS service,,"New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Other [please explain below],Give out Narcan leave behind kits supplied by Uconn Hosp,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",,First responder,No,Other,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
274,TRUE,8/2/2024 14:19,R_3Hcyf8icHtPoWJA,Local ambulance/EMS service,,"Litchfield,New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Be on higher alert for an influx of patients,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
164,TRUE,8/6/2024 10:38,R_5jAe4krtl8hFH1v,"Local ambulance/EMS service,Hospital",,Hartford,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter]",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Be on higher alert for an influx of patients,Investigate reasons for recent overdoses",,,Department of Public Health [DPH],First responder,No,Clinical and operational changes,Platform information,Higher overdose burden,State alerts,Passive
202,TRUE,8/6/2024 10:39,R_6xFqAJdBoiA4vPi,Local ambulance/EMS service,,Hartford,"Review of ODMAP or other overdose data [e.g. EpiCenter],Phone calls about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Be on higher alert for an influx of patients,Refer patients/clients to local drug testing sites,Other [please explain below]",I am an RSS and focus on harm reduction and linkage to care,I am not sure,"Department of Public Health [DPH],Other harm reduction funding",First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Platform information,Passive
247,TRUE,8/6/2024 10:47,R_1lFV1iiX8QiDERZ,Harm reduction organization/SSP,,Hartford,"Communication with colleagues,Communication with patients/clients",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about overdoses,Increased surveillance of affected areas,Refer patients/clients to local drug testing sites",,"Harm reduction van workers/street outreach,Client-facing staff,Other staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Client information sharing,Higher overdose burden,Peer information sharing,Collaborative
1347,TRUE,8/6/2024 10:58,R_341VsKs6Cq9OcYD,Other [please explain below],RBHAO,"Tolland,Hartford","Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Insights from harm reduction services",,Regular messages [e.g. listserv] from local first responder agency,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Modify or elevate preemptive overdose prevention protocols",,I am not sure,Department of Mental Health and Addiction Services [DMHAS],Other,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,Platform information,Passive
1910,TRUE,8/6/2024 11:07,R_1oLxLZm249IMroC,Substance use treatment program,,"Tolland,Hartford,Middlesex",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Increased surveillance of affected areas,Refer patients/clients to local drug testing sites",,I am not sure,"Department of Mental Health and Addiction Services [DMHAS],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
856,TRUE,8/6/2024 11:09,R_1eF7yM3WjDR19vM,Local health department/district,,Hartford,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach",Other harm reduction funding,Government and health district,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Passive
180388,TRUE,8/8/2024 12:43,R_7RjXcwUgGY9PPAl,Other [please explain below],Non-profit organization ,Hartford,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,Text messages about overdoses [not from ODMAP],,My organization does not respond to overdoses,,Organization does not receive information from CT DPH,My organization does not receive external funding for overdose prevention,Other,Yes,My organization does not respond to overdoses,Peer information sharing,Higher overdose burden,Peer information sharing,Passive
115,TRUE,8/14/2024 13:38,R_1nqtbS9aIoliT0f,Harm reduction organization/SSP,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Phone calls about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Insights from nearby drug testing sites,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,Yes,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
203,TRUE,8/14/2024 13:40,R_57NiNF2Xy2ZmnhT,Harm reduction organization/SSP,,New London,Review of ODMAP or other overdose data [e.g. EpiCenter],,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,Yes,Outreach to PWUD,Client information sharing,Higher overdose burden,Platform information,Passive
317,TRUE,8/14/2024 13:43,R_1rq7W12i9xM5Xcp,Police department,,New London,"Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from local health governance,Communication with colleagues,Insights from harm reduction services,Insights from nearby drug testing sites",,Communication with colleagues,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff,First responders",My organization does not receive external funding for overdose prevention,First responder,No,Informing the public,Peer information sharing,Higher overdose burden,Peer information sharing,Passive
103,TRUE,8/14/2024 13:45,R_7NCnFB78JRZQjwO,Harm reduction organization/SSP,,New London,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Communication with colleagues,Communication with patients/clients,Insights from nearby drug testing sites",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,I am not sure,Department of Public Health [DPH],SSPs and substance use treatment,No,Outreach to PWUD,Client information sharing,Higher overdose burden,Peer information sharing,Collaborative
183,TRUE,8/14/2024 14:04,R_6H7TyGx91eIKYvY,Harm reduction organization/SSP,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,Local alerts,Higher overdose burden,State alerts,Passive
176,TRUE,8/22/2024 4:34,R_133OUxAMZ5D8KHR,Harm reduction organization/SSP,,Fairfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with patients/clients",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Increased surveillance of affected areas,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Client information sharing,Higher overdose burden,State alerts,Passive
416,TRUE,9/5/2024 13:19,R_5NJ2rjvRYjf0lBM,Substance use treatment program,,Fairfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Phone calls from local health governance,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,Other staff,"Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Client information sharing,Higher overdose burden,State alerts,Passive
224,TRUE,9/5/2024 14:05,R_5aNWd5nv4hZ6GAN,Police department,,Fairfield,"Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from local health governance,Text messages about overdoses [not from ODMAP],Phone calls about overdoses [not from ODMAP]",,Communication with colleagues,,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Department of Public Health [DPH],First responder,Yes,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Passive
165,TRUE,9/5/2024 15:15,R_3EgEqpFEiaPBNiX,Harm reduction organization/SSP,,Fairfield,"Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach",Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
210,TRUE,9/5/2024 15:24,R_6S8M1l98kNxbExX,Harm reduction organization/SSP,,Fairfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from CT DPH,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Phone calls from CT DPH,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
421,TRUE,9/5/2024 15:24,R_1QzIYKn9kgtR72p,"Substance use treatment program,Harm reduction organization/SSP",,Fairfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Phone calls from local health governance,Phone calls about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about overdoses,Refer patients/clients to local drug testing sites",,"Harm reduction van workers/street outreach,Other staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
130,TRUE,9/5/2024 15:48,R_1n3ANovg2AjKq9X,Harm reduction organization/SSP,,Fairfield,I don’t receive updates or information about overdoses,,Regular messages [e.g. listserv] from local first responder agency,,Inform the public about overdoses,,Harm reduction van workers/street outreach,Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,Yes,Informing the public,Peer information sharing,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
274,TRUE,9/5/2024 16:17,R_5pSHgKiwqOymPFE,"Substance use treatment program,Harm reduction organization/SSP",,Fairfield,"Phone calls from local health governance,Phone calls about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,"Other staff,Emergency department","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Local alerts,Collaborative
700,TRUE,9/5/2024 18:06,R_3dz246DOcwtZNMl,Harm reduction organization/SSP,,Fairfield,"Review of ODMAP or other overdose data [e.g. EpiCenter],Phone calls about overdoses [not from ODMAP],Communication with colleagues,Insights from harm reduction services",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Other [please explain below]",Don’t use a loan always have Narcan on you,"Harm reduction van workers/street outreach,Other staff,Emergency department","Department of Mental Health and Addiction Services [DMHAS],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Platform information,Passive
334,TRUE,9/5/2024 20:23,R_3k4rFjNzxgLjSvv,Harm reduction organization/SSP,,Fairfield,"Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Text messages about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients",,ODMAP spike alert text messages from local health governance,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Other staff","Department of Mental Health and Addiction Services [DMHAS],Other harm reduction funding",SSPs and substance use treatment,Yes,Outreach to PWUD,Local alerts,Higher overdose burden,Platform information,Passive
171,TRUE,9/5/2024 22:01,R_7aJHASaLTj9ZcpL,Police department,,Fairfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Communication with colleagues",,Regular messages [e.g. listserv] from local first responder agency,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Other [please explain below]",CLEAR ,Other staff,My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
257,TRUE,9/6/2024 12:11,R_5ON19QGuFRIslrs,Harm reduction organization/SSP,,Fairfield,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Insights from harm reduction services",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,Harm reduction van workers/street outreach,Other harm reduction funding,SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
877,TRUE,9/6/2024 16:18,R_3GMq03vmyHsUeGd,Harm reduction organization/SSP,,Fairfield,"Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with patients/clients,Insights from harm reduction services",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Other harm reduction funding,SSPs and substance use treatment,Yes,Outreach to PWUD,Peer information sharing,Higher overdose burden,Platform information,Passive
614,TRUE,9/9/2024 6:51,R_3pc4CLP0uw0xCiB,Harm reduction organization/SSP,,Fairfield,"Phone calls from local health governance,Communication with colleagues",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,First responders,Emergency dispatch",Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,Yes,Outreach to PWUD,Local alerts,Higher overdose burden,Local alerts,Collaborative
121,TRUE,9/11/2024 10:30,R_3g1P8ultNkY5b4P,Other [please explain below],"Test, please delete",,,,,,,,,,Other,No,,,,,
288,TRUE,9/16/2024 12:19,R_1D8WssZTBKgM8kp,Fire department,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,Other [please explain below],Provide EMS,First responders,My organization does not receive external funding for overdose prevention,First responder,No,Other,Peer information sharing,Higher overdose burden,State alerts,Passive
120,TRUE,12/9/2024 6:53,R_76eUY2CwFGJ28Mh,State/federal government,,"Fairfield,Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Insights from harm reduction services,Insights from nearby drug testing sites",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Modify or elevate preemptive overdose prevention protocols",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Other harm reduction funding,Government and health district,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
345,TRUE,12/9/2024 9:07,R_3BWAkZ1YkXM1Qzs,Substance use treatment program,,"Litchfield,New Haven,Hartford","ODMAP spike alert emails from local health governance [e.g. local health department/health district],Text messages about overdoses [not from ODMAP],Insights from harm reduction services,Other [please include more information below]",Referrals from Law Enforcement. Text messages from dispatch. We also are the providers of texts and social media to notify others of spike alerts ,Other [please include more information below],Referrals from law enforcement and first responders,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites,Other [please explain below]",Connect to and provide support for individuals who experienced an overdose and their families,I am not sure,"Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Other,Lower overdose burden,Peer information sharing,Passive
346,TRUE,12/9/2024 9:08,R_7uPyOrOV3ZL0j8W,Local health department/district,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach",,Government and health district,No,Outreach to PWUD,Client information sharing,Higher overdose burden,State alerts,Passive
72,TRUE,12/9/2024 9:31,R_5i3ERYhWh74xmy3,Harm reduction organization/SSP,,"Fairfield,Litchfield,New Haven",ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Medical providers","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
1076,TRUE,12/9/2024 9:54,R_3EzHeha2Emy9Ckr,Harm reduction organization/SSP,,Fairfield,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,Harm reduction van workers/street outreach,"Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
207,TRUE,12/9/2024 12:33,R_7q4XpnnDBMMCULz,"Harm reduction organization/SSP,Other [please explain below]",non profit,Fairfield,"Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Communication with colleagues,,Inform the public about overdoses,,Harm reduction van workers/street outreach,Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,No,Informing the public,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
271,TRUE,12/9/2024 12:54,R_17v90b9LsSmjBEp,Other [please explain below],Health Clinic,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert text messages from local health governance",,I don’t receive updates or information about overdoses,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,My organization does not respond to overdoses",,"Harm reduction van workers/street outreach,Client-facing staff",Department of Public Health [DPH],Other,Yes,Informing the public,I don't receive updates or information about overdoses,Higher overdose burden,State alerts,Passive
942,TRUE,12/9/2024 13:05,R_7zCic2asAlw7qCg,Harm reduction organization/SSP,,New Haven,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],My organization does not respond to overdoses",,Other staff,Other harm reduction funding,SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
94,TRUE,12/9/2024 13:16,R_5Qlmfi5nrmbDKsp,Local ambulance/EMS service,,Hartford,Communication with colleagues,,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,Be on higher alert for an influx of patients,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,Yes,Clinical and operational changes,State alerts,Higher overdose burden,Peer information sharing,Collaborative
